fips,county_name,State,total_pop_18plus,prop_white,prop_foreign_born,median_age,median_income,median_rent,prop_less_than_hs,prop_bachelor_above,prop_unemployed,prop_nilf,prop_health_insurance,prop_low_ratio_ip
18031,Decatur County,  IN,20120,0.965853475,0.024751491,39.2,57949,791,0.090588433,0.206259448,0.025118189,0.342295019,0.940996987,0.120692141
18033,DeKalb County,  IN,32455,0.97197568,0.018579572,39.1,56421,701,0.097654496,0.180351653,0.023506366,0.337162022,0.921813018,0.113054017
18035,DE County,  IN,93705,0.88387237,0.025185422,35.6,43512,727,0.102730856,0.237317005,0.038574285,0.414321376,0.919372023,0.189486102
18037,Dubois County,  IN,32031,0.945020332,0.047984765,40.3,60666,660,0.107310085,0.23736809,0.013675885,0.304794107,0.951698005,0.091387773
18039,Elkhart County,  IN,147834,0.872813579,0.10210777,35.6,57021,810,0.192281297,0.197501639,0.029671263,0.341209799,0.854122412,0.12879257
18041,Fayette County,  IN,18065,0.963697508,0.00880155,42.8,46175,705,0.179201085,0.132720996,0.028525726,0.434550786,0.903255448,0.224188791
18043,Floyd County,  IN,59698,0.903556648,0.028828436,39.8,64468,796,0.092150556,0.295920095,0.025135726,0.345126003,0.952017849,0.103384234
18045,Fountain County,  IN,12795,0.975228241,0.018132083,43.4,52874,674,0.110011288,0.148649822,0.026071186,0.399531474,0.920633946,0.115679591
18047,Franklin County,  IN,17335,0.97475191,0.01407557,42.2,62462,676,0.126527724,0.211437026,0.016339869,0.35620915,0.946437238,0.130327363
18049,Fulton County,  IN,15362,0.938694268,0.036388491,41.3,52034,690,0.122236671,0.158069643,0.026141315,0.384731957,0.894512011,0.1234
18051,Gibson County,  IN,25687,0.94678512,0.017323938,40.3,55462,659,0.081243423,0.180068397,0.018754436,0.361303097,0.936806123,0.098257244
18053,Grant County,  IN,52645,0.878227894,0.017475544,40.3,44356,700,0.127879792,0.179040788,0.041454787,0.42252561,0.914276133,0.187241339
