Recip_County,Recip_State,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
Golden Valley County,MT,379,58.8,645
Elmore County,ID,15343,74.7,20550
Magoffin County,KY,5828,61.7,9451
Hill County,TX,14733,52.3,28169
Polk County,TX,24500,59.5,41147
Caledonia County,VT,10070,41.5,24255
Lincoln County,ID,2119,54.4,3898
Pike County,IL,6240,51.8,12055
Catano Municipio,PR,14855,79,18807
Haines Borough,AK,1662,80.1,2074
Maury County,TN,57959,78.4,73954
Granville County,NC,37568,78.2,48058
Mesa County,CO,73339,60.4,121401
Nevada County,AR,3708,58.2,6367
Gadsden County,FL,24817,69.3,35804
Navarro County,TX,21062,57.1,36880
Sullivan County,MO,2583,54.7,4725
Chicot County,AR,5309,67.2,7901
Sherman County,KS,2490,56,4449
Fall River County,SD,4177,74.8,5586
Plaquemines Parish,LA,14838,86.2,17221
Currituck County,NC,16711,77.1,21675
Christian County,MO,38069,57.4,66365
Powder River County,MT,385,27.5,1399
Eau Claire County,WI,58716,70.3,83560
Pittsburg County,OK,19002,56,33909
Denali Borough,AK,1050,61.8,1698
Lawrence County,IL,6322,49.7,12711
Union County,GA,11198,54,20737
Webster County,MO,16050,55.4,28962
Lake County,FL,231392,77.7,297740
Union County,AR,18455,62.7,29416
Ada County,ID,284480,76.9,369857
Owsley County,KY,1974,57.8,3413
Mora County,NM,2744,73.4,3740
Catahoula Parish,LA,3755,50.2,7482
La Paz County,AZ,9558,54.3,17602
Greenbrier County,WV,18257,65.4,27900
Hughes County,OK,5978,57.6,10386
Pocahontas County,IA,3409,66.3,5138
Loudon County,TN,33749,77.2,43729
Pickens County,AL,9854,61.3,16066
Charlotte County,VA,4410,46.9,9396
Mitchell County,GA,10045,59.2,16956
Harney County,OR,3267,55.3,5907
Madison County,AL,218982,74.9,292195
Hoonah-Angoon Census Area,AK,1351,76.5,1765
Oneida County,ID,1928,59.4,3247
Harper County,KS,2543,62.1,4092
Wheeler County,TX,1823,48.3,3772
Taylor County,GA,3578,55.7,6422
Lincoln County,KS,1263,54.5,2318
Greene County,IA,4879,71.2,6853
Moore County,TN,1401,26.8,5234
Candler County,GA,4425,54.6,8107
Osage County,KS,7696,62.8,12260
Jasper County,MS,7965,62.6,12725
Faribault County,MN,7357,69.1,10649
Union County,MS,10895,50.5,21595
Marshall County,WV,13356,54.1,24696
Stanislaus County,CA,222980,55.4,402227
Umatilla County,OR,40443,69.3,58394
Clark County,MO,2123,40.3,5270
Evans County,GA,4122,52.6,7842
Big Horn County,MT,9931,95,8853
San Augustine County,TX,3225,48.6,6634
Wayne County,NC,59675,63.5,94031
Waynesboro city,VA,9244,53.5,17265
Dent County,MO,5235,43.2,12119
Cottle County,TX,427,39.6,1077
Cumberland County,PA,170572,84.4,202103
King William County,VA,8329,62.9,13236
Sandoval County,NM,96397,85.1,113218
Salem County,NJ,33033,67.3,49051
Alfalfa County,OK,2612,56.8,4597
Cayuga County,NY,41974,68.1,61675
Jefferson County,AR,29274,56,52303
